k,MSE,Frobenius,quality level
5,0.005845405465191836,0.11753290455609097,low
10,0.002197790276545735,0.07206846500413401,low
20,0.0010968577556667617,0.05091283766514874,medium
50,0.0004260359894547408,0.03173038138151946,medium
100,0.00011733474631223945,0.01665196416375277,high
200,2.8363775706943114e-06,0.0025890126323355,high
